,store_id,store_id_only_num,store_name,booking,receipt,blog,total
2994,s37603333,37603333,유은헤어,1.0,1.0,1.0,3.0
2995,s1223390710,1223390710,헤어천사,1.0,1.0,1.0,3.0
2996,s37326805,37326805,맨남자전문미용실,1.0,1.0,1.0,3.0
2997,s1733478428,1733478428,박영은미용실,1.0,1.0,1.0,3.0
2998,s1382845656,1382845656,미미헤어샵,1.0,1.0,1.0,3.0
2999,s1284513649,1284513649,JN헤어,1.0,1.0,1.0,3.0
3000,s1094389394,1094389394,꾸밈헤어,1.0,1.0,1.0,3.0
3001,s1125829558,1125829558,체인지미용실,1.0,1.0,1.0,3.0
3002,s20908629,20908629,최경숙헤어,1.0,1.0,1.0,3.0
3003,s1688156798,1688156798,라라헤어,1.0,1.0,1.0,3.0
3004,s20916004,20916004,유수경헤어,1.0,1.0,1.0,3.0
3005,s20854745,20854745,헤어톡,1.0,1.0,1.0,3.0
3006,s941657761,941657761,윤헤어,1.0,1.0,1.0,3.0
3007,s1681738478,1681738478,현진헤어,1.0,1.0,1.0,3.0
3008,s37268905,37268905,공감헤어,1.0,1.0,1.0,3.0
3009,s30829440,30829440,혜리헤어샵,1.0,1.0,1.0,3.0
3010,s20895921,20895921,벨라지오헤어살롱,1.0,1.0,1.0,3.0
3011,s1702872204,1702872204,메이난헤어,1.0,1.0,1.0,3.0
3012,s1176760622,1176760622,미장원by김쌤,1.0,1.0,1.0,3.0
3013,s18680711,18680711,보경헤어,1.0,1.0,1.0,3.0
3014,s916732452,916732452,소영헤어샵,1.0,1.0,1.0,3.0
3015,s37918442,37918442,머리가 보라매역점,1.0,1.0,1.0,3.0
3016,s1000994707,1000994707,머리가헤어,1.0,1.0,1.0,3.0
3017,s20881900,20881900,에바다헤어,1.0,1.0,1.0,3.0
3018,s1133041403,1133041403,차영헤어,1.0,1.0,1.0,3.0
3019,s37486765,37486765,아우룸헤어,1.0,1.0,1.0,3.0
3020,s1758616143,1758616143,허브헤어,1.0,1.0,1.0,3.0
3021,s1710339253,1710339253,헤어아트,1.0,1.0,1.0,3.0
